iter	Passed	Remaining
481	606	651
482	607	649
483	608	648
484	609	646
485	609	645
486	610	643
487	612	642
488	613	640
489	614	639
490	615	637
491	615	635
492	616	634
493	617	632
494	619	631
495	620	630
496	621	629
497	622	627
498	623	626
499	624	624
500	625	623
501	626	621
502	627	619
503	628	618
504	629	616
505	629	614
506	630	613
507	631	611
508	632	610
509	634	609
510	635	608
511	636	606
512	637	605
513	638	603
514	639	602
515	640	601
516	642	599
517	643	598
518	644	596
519	645	595
520	645	593
521	646	592
522	648	591
523	650	590
524	651	589
525	652	587
526	653	586
527	654	585
528	655	583
529	656	582
530	657	580
531	658	579
532	659	577
533	660	576
534	661	574
535	661	573
536	662	571
537	664	570
538	665	569
539	666	567
540	667	566
541	668	565
542	669	563
543	670	562
544	671	560
545	672	558
546	673	557
547	674	556
548	675	554
549	675	553
550	676	551
551	678	550
552	679	549
553	680	547
554	681	546
555	682	544
556	683	543
557	683	541
558	684	540
559	685	538
560	686	537
561	687	535
562	688	534
563	689	532
564	690	531
565	690	529
566	691	528
567	693	527
568	694	525
569	694	524
570	696	523
571	697	521
572	698	520
573	699	518
574	700	517
575	700	516
576	701	514
577	702	513
578	703	511
579	704	510
580	705	508
581	706	507
582	707	506
583	708	504
584	709	503
585	710	502
586	711	500
587	712	499
588	713	497
589	714	496
590	715	494
591	716	493
592	717	492
593	717	490
594	718	489
595	719	487
596	720	486
597	721	485
598	722	483
599	723	482
600	724	481
601	725	479
602	726	478
603	727	477
604	728	475
605	729	474
606	730	472
607	731	471
608	732	470
609	733	468
610	734	467
611	734	465
612	735	464
613	736	463
614	738	462
615	739	460
616	740	459
617	741	458
618	741	456
619	742	455
620	743	453
621	744	452
622	745	451
623	746	449
624	747	448
625	748	447
626	749	445
627	750	444
628	751	442
629	751	441
630	753	440
631	753	439
632	754	437
633	755	436
634	756	434
635	757	433
636	758	432
637	759	430
638	760	429
639	761	428
640	762	426
641	763	425
642	763	424
643	764	422
644	765	421
645	766	420
646	767	418
647	768	417
648	769	416
649	770	415
650	771	413
651	772	412
652	773	411
653	774	409
654	775	408
655	776	407
656	777	405
657	778	404
658	779	403
659	780	401
660	781	400
661	781	399
662	783	398
663	783	396
664	784	395
665	785	394
666	786	392
667	787	391
668	788	389
669	789	388
670	789	387
671	790	385
672	791	384
673	792	383
674	793	382
675	794	380
676	795	379
677	796	378
678	797	377
679	798	375
680	799	374
681	800	373
682	801	372
683	802	370
684	803	369
685	804	368
686	805	366
687	806	365
688	807	364
689	808	363
690	809	361
691	810	360
692	811	359
693	812	358
694	813	357
695	814	355
696	815	354
697	816	353
698	817	351
699	818	350
700	819	349
701	820	348
702	821	346
703	821	345
704	822	344
705	823	343
706	824	341
707	825	340
708	826	339
709	827	338
710	828	336
711	829	335
712	830	334
713	831	333
714	832	331
715	833	330
716	834	329
717	835	327
718	835	326
719	836	325
720	837	324
721	838	322
722	839	321
723	840	320
724	841	319
725	842	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	849	309
733	849	307
734	850	306
735	851	305
736	852	304
737	853	303
738	854	301
739	855	300
740	856	299
741	857	298
742	858	297
743	859	295
744	860	294
745	861	293
746	862	292
747	863	291
748	865	289
749	866	288
750	867	287
751	868	286
752	869	285
753	870	284
754	871	282
755	872	281
756	873	280
757	874	279
758	875	278
759	876	276
760	877	275
761	878	274
762	879	273
763	880	272
764	881	270
765	882	269
766	883	268
767	884	267
768	885	266
769	887	265
770	888	263
771	889	262
772	890	261
773	891	260
774	892	259
775	893	257
776	894	256
777	895	255
778	896	254
779	897	253
780	898	251
781	899	250
782	900	249
783	901	248
784	902	247
785	903	245
786	904	244
787	905	243
788	905	242
789	907	241
790	908	239
791	909	238
792	910	237
793	911	236
794	912	235
795	913	234
796	914	232
797	915	231
798	916	230
799	917	229
800	918	228
801	919	227
802	920	225
803	921	224
804	922	223
805	923	222
806	924	221
807	925	219
808	926	218
809	927	217
810	928	216
811	929	215
812	930	214
813	931	212
814	932	211
815	933	210
816	934	209
817	936	208
818	937	207
819	937	205
820	938	204
821	939	203
822	940	202
823	942	201
824	943	200
825	944	198
826	945	197
827	946	196
828	947	195
829	949	194
830	950	193
831	951	192
832	952	190
833	953	189
834	954	188
835	955	187
836	956	186
837	958	185
838	959	184
839	960	183
840	962	181
841	963	180
842	965	179
843	966	178
844	967	177
845	968	176
846	969	175
847	970	174
848	971	172
849	973	171
850	974	170
851	975	169
852	976	168
853	977	167
854	978	166
855	980	164
856	982	163
857	983	162
858	984	161
859	985	160
860	986	159
861	988	158
862	989	157
863	991	156
864	993	155
865	994	153
866	995	152
867	997	151
868	998	150
869	999	149
870	1001	148
871	1002	147
872	1003	145
873	1005	144
874	1006	143
875	1008	142
876	1009	141
877	1010	140
878	1011	139
879	1012	138
880	1013	136
881	1014	135
882	1015	134
883	1016	133
884	1018	132
885	1019	131
886	1020	130
887	1021	128
888	1023	127
889	1023	126
890	1025	125
891	1026	124
892	1027	123
893	1028	121
894	1029	120
895	1030	119
896	1032	118
897	1033	117
898	1034	116
899	1035	115
900	1036	113
901	1038	112
902	1039	111
903	1040	110
904	1041	109
905	1042	108
906	1043	107
907	1044	105
908	1045	104
909	1046	103
910	1048	102
911	1049	101
912	1050	100
913	1051	98
914	1052	97
915	1053	96
916	1055	95
917	1056	94
918	1057	93
919	1057	91
920	1058	90
921	1059	89
922	1060	88
923	1061	87
924	1062	86
925	1064	85
926	1065	83
927	1066	82
928	1067	81
929	1068	80
930	1069	79
931	1070	78
932	1071	76
933	1072	75
934	1073	74
935	1074	73
936	1075	72
937	1077	71
938	1078	70
939	1079	68
940	1080	67
941	1081	66
942	1082	65
943	1083	64
944	1083	63
945	1084	61
946	1085	60
947	1086	59
948	1087	58
949	1088	57
950	1089	56
951	1090	54
952	1091	53
953	1092	52
954	1093	51
955	1094	50
956	1095	49
957	1096	48
958	1097	46
959	1098	45
960	1099	44
961	1100	43
962	1101	42
963	1101	41
964	1102	39
965	1103	38
966	1104	37
967	1105	36
968	1106	35
969	1107	34
970	1108	33
971	1109	31
972	1110	30
973	1111	29
974	1112	28
975	1113	27
976	1113	26
977	1114	25
978	1115	23
979	1116	22
980	1117	21
981	1119	20
982	1119	19
983	1121	18
984	1121	17
985	1123	15
986	1124	14
987	1125	13
988	1126	12
989	1127	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
